xyz,kmeans_cluster
0,0
1,7
2,7
3,7
4,4
5,0
6,7
7,4
8,9
9,7
10,0
11,0
12,7
13,0
14,7
15,2
16,4
17,9
18,4
19,9
20,7
21,7
22,7
23,0
24,0
25,9
26,7
27,4
28,4
29,5
30,7
31,7
32,5
33,4
34,7
35,4
36,5
37,9
38,0
39,4
40,0
41,4
42,7
43,8
44,8
45,4
46,0
47,5
48,7
49,0
50,7
51,0
52,7
53,7
54,9
55,4
56,0
57,7
58,0
59,4
60,4
61,9
62,7
63,4
64,7
65,0
66,7
67,5
68,7
69,7
70,8
71,7
72,4
73,0
74,4
75,7
76,3
77,4
78,9
79,0
80,0
81,7
82,0
83,5
84,4
85,4
86,0
87,4
88,0
89,0
90,3
91,9
92,0
93,7
94,8
95,8
96,0
97,8
98,2
